userName,userLocation,userDescription,isUserVerified,date,text,source
Sofia Recinos,Guatemala,🕊 ig:sofiarecinoss,False,2022-09-10 21:47:19+00:00,"@Tigo_GT Cuando te reías, me encantaba
Y yo como loco, perdido en tu mirada
Ese beso que nos dimos en la noche mientras bailabas🥳",Twitter for iPhone
Sofia Recinos,Guatemala,🕊 ig:sofiarecinoss,False,2022-09-10 21:47:03+00:00,"@Tigo_GT Cuando te reías, me encantaba
Y yo como loco, perdido en tu mirada
Ese beso que nos dimos en la noche mientras bailabas🫶🏽",Twitter for iPhone
Sofia Recinos,Guatemala,🕊 ig:sofiarecinoss,False,2022-09-10 21:46:30+00:00,"@Tigo_GT Cuando te reías, me encantaba
Y yo como loco, perdido en tu mirada
Ese beso que nos dimos en la noche mientras bailabas💘",Twitter for iPhone
Sofia Recinos,Guatemala,🕊 ig:sofiarecinoss,False,2022-09-10 21:46:13+00:00,"@Tigo_GT Cuando te reías, me encantaba
Y yo como loco, perdido en tu mirada
Ese beso que nos dimos en la noche mientras bailabas💘",Twitter for iPhone
Sofia Recinos,Guatemala,🕊 ig:sofiarecinoss,False,2022-09-10 21:46:06+00:00,"@Tigo_GT Cuando te reías, me encantaba
Y yo como loco, perdido en tu mirada
Ese beso que nos dimos en la noche mientras bailabas💗",Twitter for iPhone
Sofia Recinos,Guatemala,🕊 ig:sofiarecinoss,False,2022-09-10 21:45:55+00:00,"@Tigo_GT Cuando te reías, me encantaba
Y yo como loco, perdido en tu mirada
Ese beso que nos dimos en la noche mientras bailabas💚",Twitter for iPhone
Sofia Recinos,Guatemala,🕊 ig:sofiarecinoss,False,2022-09-10 21:45:48+00:00,"@Tigo_GT Cuando te reías, me encantaba
Y yo como loco, perdido en tu mirada
Ese beso que nos dimos en la noche mientras bailabas🤎",Twitter for iPhone
Sofia Recinos,Guatemala,🕊 ig:sofiarecinoss,False,2022-09-10 21:45:41+00:00,"@Tigo_GT Cuando te reías, me encantaba
Y yo como loco, perdido en tu mirada
Ese beso que nos dimos en la noche mientras bailabas❣️",Twitter for iPhone
Sofia Recinos,Guatemala,🕊 ig:sofiarecinoss,False,2022-09-10 21:44:52+00:00,"@Tigo_GT Cuando te reías, me encantaba
Y yo como loco, perdido en tu mirada
Ese beso que nos dimos en la noche mientras bailabas 💙",Twitter for iPhone
Sofia Recinos,Guatemala,🕊 ig:sofiarecinoss,False,2022-09-10 21:44:40+00:00,"@Tigo_GT Cuando te reías, me encantaba
Y yo como loco, perdido en tu mirada
Ese beso que nos dimos en la noche mientras bailabas💛",Twitter for iPhone
Sofia Recinos,Guatemala,🕊 ig:sofiarecinoss,False,2022-09-10 21:44:28+00:00,"@Tigo_GT Cuando te reías, me encantaba
Y yo como loco, perdido en tu mirada
Ese beso que nos dimos en la noche mientras bailabas🤍",Twitter for iPhone
Sofia Recinos,Guatemala,🕊 ig:sofiarecinoss,False,2022-09-10 21:44:13+00:00,"@Tigo_GT Cuando te reías, me encantaba
Y yo como loco, perdido en tu mirada
Ese beso que nos dimos en la noche mientras bailabas 💝",Twitter for iPhone
Lex ⇱MAXIDENT⇲,hospital psiquiátrico,Echándole ganas a la vida x Felix,False,2022-09-10 21:43:00+00:00,@Tigo_GT @Stray_Kids @DeezerLatino Por esta razón le soy fiel a Tigo 🙈,Twitter for Android
Oxvin,,"Amante a la buena comida, Ingeniero, cocinero de vez en mes, espontáneo, gamer.",False,2022-09-10 21:37:43+00:00,@Tigo_GT Vix+ y la Liga están en Tigo #Futbolcontigo  @FCBarcelona_es,Twitter for Android
Saul Mendez,,,False,2022-09-10 21:27:17+00:00,@Tigo_GT Podre ver todos los partidos del mejor equipo de España. Hala Madrid.,Twitter for Android
Kevin Pacheco,,,False,2022-09-10 21:25:22+00:00,@Tigo_GT Vix+ y la liga estan en Tigo #FutbolConTigo @realmadrid,Twitter for Android
Win...,,,False,2022-09-10 21:21:59+00:00,@Tigo_GT Vix+la liga está en tigo #fútbolcontigo Real Madrid,Twitter for Android
